# Depth (Er)	r	theta (deg)	alpha (deg)	tx wannier (Er)	ty wannier (Er)	td wannier (Er)	wannier integral (Er)	tx bs (Er)	ty bs (Er)	td bs(Er)	mean 0->d1	gap 0->d1	bw d1	mean 0->d2	gap 0->d2	bw d2	mean 0->d3	gap 0->d3	bw d3
1.000000000000000000e+00	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.965282122388615771e-01	1.740853572998608267e-01	2.646821948722733776e-03	7.850802237625899016e-01	1.984227867695246839e-01	1.862438032631325568e-01	9.938531449368982577e-04	3.595170706371936031e+00	5.077934729243414047e-01	3.201100190865255435e+00	5.580017426559135352e+00	4.153526302887835087e+00	5.478576551552268192e+00	6.280774098284310547e+00	4.153955722837308961e+00	4.610013034985725788e+00
3.000000000000000000e+00	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.453378138904341532e-01	1.413144477218334638e-01	3.781612234624472362e-03	1.412965737280100331e+00	1.502934858531214390e-01	1.378031530541148353e-01	3.698904182301370434e-03	3.954611156821737250e+00	1.566198416113339098e+00	2.717669643653921163e+00	5.792190024052081831e+00	4.553511383816421620e+00	4.982406521793134146e+00	6.629152344095240679e+00	4.798623482280501840e+00	4.115685344373900101e+00
5.000000000000000000e+00	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	9.159460023239171522e-02	1.000879659935896837e-01	3.594171816011617823e-03	2.115267249228676150e+00	1.018489350313925290e-01	9.087410432913042846e-02	3.620546351142884395e-03	4.532156104222168302e+00	2.674773893887016918e+00	2.284754171010652257e+00	6.211257867659653265e+00	5.114762225596807710e+00	4.467060488745129732e+00	7.168827019417280511e+00	5.578927161119802136e+00	3.701408447988093542e+00
7.000000000000000000e+00	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	5.441815113729003839e-02	6.838510183063931103e-02	2.304852584605564074e-03	2.785827323379143294e+00	6.619067600157571563e-02	5.750765827889795651e-02	2.349037134948055335e-03	5.246839563511125348e+00	3.824211318997592812e+00	1.911747360579751920e+00	6.811878590047383497e+00	5.838305425727346787e+00	3.964868329070293296e+00	7.837645796598083692e+00	6.466228111581774129e+00	3.393593636400206837e+00
9.000000000000000000e+00	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	3.166466734713199727e-02	4.670216453000078372e-02	1.272746415957066047e-03	3.388090354608913835e+00	4.279018325414311874e-02	3.626948161121199693e-02	1.302859311521358584e-03	6.068650388903043869e+00	5.004516362653333772e+00	1.523795538702233276e+00	7.543981901815694613e+00	6.698704250926809323e+00	3.482979407686246365e+00	8.597614935448172346e+00	7.433694812853180345e+00	3.043570957293437740e+00
1.100000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.829567701285381848e-02	3.229738311727238520e-02	6.674329149275333960e-04	3.924604197434998554e+00	2.794617965840540813e-02	2.315774071202504267e-02	6.833464017728070128e-04	6.978963553879036219e+00	6.129104350147589031e+00	1.464875877449510311e+00	8.367071886023701666e+00	7.639350510004216943e+00	3.023137287874230417e+00	9.422685977891273268e+00	8.463038861001589197e+00	2.709191002313927399e+00
1.300000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.051312258116335677e-02	2.269231415847392311e-02	3.466216739872455990e-04	4.408064797059436657e+00	1.853301888656498642e-02	1.504234268556244383e-02	3.538803559656063767e-04	7.952695320724217254e+00	7.094270608133459000e+00	1.475319598972465451e+00	9.255067545274547669e+00	8.608090878456808426e+00	2.585829196361422166e+00	1.029341807253202923e+01	9.506525955260093141e+00	2.404491153927882152e+00
1.500000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	5.976211952146722947e-03	1.619315578767361805e-02	1.814970214131826696e-04	4.850175263752863231e+00	1.249038864947264911e-02	9.945595769813988379e-03	1.843314908218985672e-04	8.965821105677928671e+00	8.115004210321844269e+00	1.524956516018606267e+00	1.018536397436120033e+01	9.519995216278486438e+00	2.240646527907513175e+00	1.119168751509399051e+01	1.043385829004300902e+01	2.231537979054197152e+00
1.700000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	3.323217032666134392e-03	1.171978908024011098e-02	9.652920709857649821e-05	5.259704326691030829e+00	8.548701397741992683e-03	6.686703626903395085e-03	9.733134441711871997e-05	9.992757774296288531e+00	9.163030731125681783e+00	1.388520091127417810e+00	1.114057807019609747e+01	1.062483857461793590e+01	1.792754136835327028e+00	1.210057210028942620e+01	1.138451725133831793e+01	2.140051748577018742e+00
1.900000000000000000e+01	8.000000000000000444e-01	9.162669999999999959e+01	0.000000000000000000e+00	1.770961445429018039e-03	8.589495266736309198e-03	5.228667118146247987e-05	5.642959095680321724e+00	5.934765729426867698e-03	4.565072779085018601e-03	5.225109293368864274e-05	1.102052098365810728e+01	1.021789919232239541e+01	1.273373478427518357e+00	1.209594733109301323e+01	1.170136747914241937e+01	1.416378154402866185e+00	1.300494814650170738e+01	1.233613850883421215e+01	1.883989230644713908e+00
